ResponseId;type;item;value
R_2CKcqOFnCFxecy9;positive;1;Skills
R_2CKcqOFnCFxecy9;positive;2;Workers
R_2CKcqOFnCFxecy9;positive;3;Diversity
R_2CKcqOFnCFxecy9;positive;4;NA
R_2CKcqOFnCFxecy9;positive;5;NA
R_2CKcqOFnCFxecy9;negative;1;Overcrowding in some areas
R_2CKcqOFnCFxecy9;negative;2;Lack of infrastructure
R_2CKcqOFnCFxecy9;negative;3;Lack of resources
R_2CKcqOFnCFxecy9;negative;4;NA
R_2CKcqOFnCFxecy9;negative;5;NA
R_82KIJRJ7xvnOk4n;positive;1;diversity
R_82KIJRJ7xvnOk4n;positive;2;family
R_82KIJRJ7xvnOk4n;positive;3;skills
R_82KIJRJ7xvnOk4n;positive;4;community
R_82KIJRJ7xvnOk4n;positive;5;sharing
R_82KIJRJ7xvnOk4n;negative;1;NA
R_82KIJRJ7xvnOk4n;negative;2;NA
R_82KIJRJ7xvnOk4n;negative;3;NA
R_82KIJRJ7xvnOk4n;negative;4;NA
R_82KIJRJ7xvnOk4n;negative;5;NA
R_8HgZymOhvLBfDjZ;positive;1;brings new perspectives
R_8HgZymOhvLBfDjZ;positive;2;brings the world together
R_8HgZymOhvLBfDjZ;positive;3;brings skill sets we lack at times
R_8HgZymOhvLBfDjZ;positive;4;brings diversity
R_8HgZymOhvLBfDjZ;positive;5;brings knowledge and other histories culture food fashion thinking etc
R_8HgZymOhvLBfDjZ;negative;1;too many immigrants make it harder for some parts of country
R_8HgZymOhvLBfDjZ;negative;2;bad feelings stir up problems
R_8HgZymOhvLBfDjZ;negative;3;money spent  when we need it
R_8HgZymOhvLBfDjZ;negative;4;lack of wanting to naturalise with us
R_8HgZymOhvLBfDjZ;negative;5;disrespect for us and our religions is a big one
R_2FEYPq94YH7ZTVz;positive;1;Culturally enriching
R_2FEYPq94YH7ZTVz;positive;2;generates money
R_2FEYPq94YH7ZTVz;positive;3;creates acceptance
R_2FEYPq94YH7ZTVz;positive;4;NA
R_2FEYPq94YH7ZTVz;positive;5;NA
R_2FEYPq94YH7ZTVz;negative;1;Limited resources
R_2FEYPq94YH7ZTVz;negative;2;NA
R_2FEYPq94YH7ZTVz;negative;3;NA
R_2FEYPq94YH7ZTVz;negative;4;NA
R_2FEYPq94YH7ZTVz;negative;5;NA
R_8qCAAgiLDq7cpLf;positive;1;diversity
R_8qCAAgiLDq7cpLf;positive;2;cultural understanding
R_8qCAAgiLDq7cpLf;positive;3;NA
R_8qCAAgiLDq7cpLf;positive;4;NA
R_8qCAAgiLDq7cpLf;positive;5;NA
R_8qCAAgiLDq7cpLf;negative;1;over crowding
R_8qCAAgiLDq7cpLf;negative;2;loss of identitiy
R_8qCAAgiLDq7cpLf;negative;3;security
R_8qCAAgiLDq7cpLf;negative;4;safety
R_8qCAAgiLDq7cpLf;negative;5;NA
R_2gYUylZrXTlVERP;positive;1;Integration
R_2gYUylZrXTlVERP;positive;2;Diversity
R_2gYUylZrXTlVERP;positive;3;Culture
R_2gYUylZrXTlVERP;positive;4;NA
R_2gYUylZrXTlVERP;positive;5;NA
R_2gYUylZrXTlVERP;negative;1;Overcrowding
R_2gYUylZrXTlVERP;negative;2;Resources
R_2gYUylZrXTlVERP;negative;3;Cultural disparities
R_2gYUylZrXTlVERP;negative;4;NA
R_2gYUylZrXTlVERP;negative;5;NA
R_8qDxHN1rhPKzWF0;positive;1;Doing a good thing - giving sanctuary to people in terrible situations
R_8qDxHN1rhPKzWF0;positive;2;We may get skilled workers who pay taxes
R_8qDxHN1rhPKzWF0;positive;3;There may be labour gaps that immigrants can fill
R_8qDxHN1rhPKzWF0;positive;4;NA
R_8qDxHN1rhPKzWF0;positive;5;NA
R_8qDxHN1rhPKzWF0;negative;1;Overcrowding - lack of sufficient housing
R_8qDxHN1rhPKzWF0;negative;2;Potential for increase in crime
R_8qDxHN1rhPKzWF0;negative;3;Pressure on services eg. NHS
R_8qDxHN1rhPKzWF0;negative;4;They may be unskilled and not speak English so will not easily get a job and so will be a burdern on benefit system
R_8qDxHN1rhPKzWF0;negative;5;NA
R_8hEhUKttLuBDUHA;positive;1;Younger labour to assist older people
R_8hEhUKttLuBDUHA;positive;2;More diverse communities
R_8hEhUKttLuBDUHA;positive;3;Higher population contributing to the economy
R_8hEhUKttLuBDUHA;positive;4;NA
R_8hEhUKttLuBDUHA;positive;5;NA
R_8hEhUKttLuBDUHA;negative;1;Push up house prices
R_8hEhUKttLuBDUHA;negative;2;Strain on public services
R_8hEhUKttLuBDUHA;negative;3;Causes divide between communities
R_8hEhUKttLuBDUHA;negative;4;NA
R_8hEhUKttLuBDUHA;negative;5;NA
R_2xWrxF83GsYJzLL;positive;1;Makes culture more vibrant/interesting
R_2xWrxF83GsYJzLL;positive;2;Brings different skills/knowledge to economy
R_2xWrxF83GsYJzLL;positive;3;Improves society by making things more interesting
R_2xWrxF83GsYJzLL;positive;4;NA
R_2xWrxF83GsYJzLL;positive;5;NA
R_2xWrxF83GsYJzLL;negative;1;NA
R_2xWrxF83GsYJzLL;negative;2;NA
R_2xWrxF83GsYJzLL;negative;3;NA
R_2xWrxF83GsYJzLL;negative;4;NA
R_2xWrxF83GsYJzLL;negative;5;NA
R_2SIj8mZpkzhtVaA;positive;1;Increased skillset
R_2SIj8mZpkzhtVaA;positive;2;Freedom of movement works both ways
R_2SIj8mZpkzhtVaA;positive;3;Increase in different cultures
R_2SIj8mZpkzhtVaA;positive;4;NA
R_2SIj8mZpkzhtVaA;positive;5;NA
R_2SIj8mZpkzhtVaA;negative;1;Dilution of traditional British culture
R_2SIj8mZpkzhtVaA;negative;2;Overcrowding
R_2SIj8mZpkzhtVaA;negative;3;Illegal immigration can increase crime rates
R_2SIj8mZpkzhtVaA;negative;4;NA
R_2SIj8mZpkzhtVaA;negative;5;NA
R_8oEJ13FG0GnlWhl;positive;1;Multinational community
R_8oEJ13FG0GnlWhl;positive;2;Can bring more money into the country
R_8oEJ13FG0GnlWhl;positive;3;NA
R_8oEJ13FG0GnlWhl;positive;4;NA
R_8oEJ13FG0GnlWhl;positive;5;NA
R_8oEJ13FG0GnlWhl;negative;1;Costs too much for the country
R_8oEJ13FG0GnlWhl;negative;2;More crimes
R_8oEJ13FG0GnlWhl;negative;3;NA
R_8oEJ13FG0GnlWhl;negative;4;NA
R_8oEJ13FG0GnlWhl;negative;5;NA
R_27tqT5LNOR8JXK9;positive;1;NA
R_27tqT5LNOR8JXK9;positive;2;NA
R_27tqT5LNOR8JXK9;positive;3;NA
R_27tqT5LNOR8JXK9;positive;4;NA
R_27tqT5LNOR8JXK9;positive;5;NA
R_27tqT5LNOR8JXK9;negative;1;using our taxes
R_27tqT5LNOR8JXK9;negative;2;using our hotels
R_27tqT5LNOR8JXK9;negative;3;we don't know what their background is
R_27tqT5LNOR8JXK9;negative;4;they are here illegally
R_27tqT5LNOR8JXK9;negative;5;we don't have the room for them
R_2jMO2GWZce1cRCp;positive;1;NA
R_2jMO2GWZce1cRCp;positive;2;NA
R_2jMO2GWZce1cRCp;positive;3;NA
R_2jMO2GWZce1cRCp;positive;4;NA
R_2jMO2GWZce1cRCp;positive;5;NA
R_2jMO2GWZce1cRCp;negative;1;cultural mismatch
R_2jMO2GWZce1cRCp;negative;2;lack of resource
R_2jMO2GWZce1cRCp;negative;3;discourse it causes in existing population
R_2jMO2GWZce1cRCp;negative;4;increased crime
R_2jMO2GWZce1cRCp;negative;5;lack of vetting and documentation
R_8AzJuBVFVDUFrt7;positive;1;cultural diversity
R_8AzJuBVFVDUFrt7;positive;2;NA
R_8AzJuBVFVDUFrt7;positive;3;NA
R_8AzJuBVFVDUFrt7;positive;4;NA
R_8AzJuBVFVDUFrt7;positive;5;NA
R_8AzJuBVFVDUFrt7;negative;1;Lack of space
R_8AzJuBVFVDUFrt7;negative;2;Lack of housing for british citizens
R_8AzJuBVFVDUFrt7;negative;3;Increased cost on tax payers
R_8AzJuBVFVDUFrt7;negative;4;National security
R_8AzJuBVFVDUFrt7;negative;5;NA
R_2QmLpABGa0u1aqp;positive;1;Enhance British culture
R_2QmLpABGa0u1aqp;positive;2;Contribute to the flow of economy
R_2QmLpABGa0u1aqp;positive;3;New, unique business
R_2QmLpABGa0u1aqp;positive;4;Highly qualified workers
R_2QmLpABGa0u1aqp;positive;5;NA
R_2QmLpABGa0u1aqp;negative;1;Too many people in poor areas
R_2QmLpABGa0u1aqp;negative;2;Lack of drive
R_2QmLpABGa0u1aqp;negative;3;NA
R_2QmLpABGa0u1aqp;negative;4;NA
R_2QmLpABGa0u1aqp;negative;5;NA
R_8EHpZNKX29tq8Pn;positive;1;Fills job vacancies
R_8EHpZNKX29tq8Pn;positive;2;Diversifies food and music culture
R_8EHpZNKX29tq8Pn;positive;3;Working immigrants generate tax revenue
R_8EHpZNKX29tq8Pn;positive;4;NA
R_8EHpZNKX29tq8Pn;positive;5;NA
R_8EHpZNKX29tq8Pn;negative;1;Higher competition for housing
R_8EHpZNKX29tq8Pn;negative;2;Higher competition for healthcare
R_8EHpZNKX29tq8Pn;negative;3;Higher competition for education
R_8EHpZNKX29tq8Pn;negative;4;NA
R_8EHpZNKX29tq8Pn;negative;5;NA
R_8lAiT45tT9gEySv;positive;1;Skilled workers can enter the uk job market
R_8lAiT45tT9gEySv;positive;2;NA
R_8lAiT45tT9gEySv;positive;3;NA
R_8lAiT45tT9gEySv;positive;4;NA
R_8lAiT45tT9gEySv;positive;5;NA
R_8lAiT45tT9gEySv;negative;1;Criminals come to the country
R_8lAiT45tT9gEySv;negative;2;The benefits system and NHS are taken advantage of
R_8lAiT45tT9gEySv;negative;3;Policing, Housing and Processing costs are astronomical
R_8lAiT45tT9gEySv;negative;4;Undermines British Traditions and Values
R_8lAiT45tT9gEySv;negative;5;Muslim religion wants to take over
R_8NhvV9osXAs5J2U;positive;1;Needed for the workforce
R_8NhvV9osXAs5J2U;positive;2;Needed to evolve outdated practices
R_8NhvV9osXAs5J2U;positive;3;People from outside may need safe space
R_8NhvV9osXAs5J2U;positive;4;NA
R_8NhvV9osXAs5J2U;positive;5;NA
R_8NhvV9osXAs5J2U;negative;1;Can create disagreements re cultural norms
R_8NhvV9osXAs5J2U;negative;2;NA
R_8NhvV9osXAs5J2U;negative;3;NA
R_8NhvV9osXAs5J2U;negative;4;NA
R_8NhvV9osXAs5J2U;negative;5;NA
R_8F3AOZGmt8OabB6;positive;1;Medical support
R_8F3AOZGmt8OabB6;positive;2;Techincal experts
R_8F3AOZGmt8OabB6;positive;3;Diversity
R_8F3AOZGmt8OabB6;positive;4;NA
R_8F3AOZGmt8OabB6;positive;5;NA
R_8F3AOZGmt8OabB6;negative;1;Crime
R_8F3AOZGmt8OabB6;negative;2;NA
R_8F3AOZGmt8OabB6;negative;3;NA
R_8F3AOZGmt8OabB6;negative;4;NA
R_8F3AOZGmt8OabB6;negative;5;NA
R_8nzPpqBGo6Iq2qd;positive;1;Bring in skills
R_8nzPpqBGo6Iq2qd;positive;2;Help people have a better life
R_8nzPpqBGo6Iq2qd;positive;3;Meet new cultures
R_8nzPpqBGo6Iq2qd;positive;4;NA
R_8nzPpqBGo6Iq2qd;positive;5;NA
R_8nzPpqBGo6Iq2qd;negative;1;Puts pressure on services
R_8nzPpqBGo6Iq2qd;negative;2;Can harm the economy
R_8nzPpqBGo6Iq2qd;negative;3;Increased crime
R_8nzPpqBGo6Iq2qd;negative;4;Lose our culture
R_8nzPpqBGo6Iq2qd;negative;5;Lack of housing
R_84hJTiISVO3Dhkr;positive;1;diversity
R_84hJTiISVO3Dhkr;positive;2;increases the number of working aged people
R_84hJTiISVO3Dhkr;positive;3;encourages innovators to develop here
R_84hJTiISVO3Dhkr;positive;4;fills the NHS staffing gaps
R_84hJTiISVO3Dhkr;positive;5;gives people safety from persecution
R_84hJTiISVO3Dhkr;negative;1;gets the gammons riled up
R_84hJTiISVO3Dhkr;negative;2;gives the right wing press something to blame for years of right wing government failure
R_84hJTiISVO3Dhkr;negative;3;NA
R_84hJTiISVO3Dhkr;negative;4;NA
R_84hJTiISVO3Dhkr;negative;5;NA
R_8TzLamKfdYhcavh;positive;1;Diversity
R_8TzLamKfdYhcavh;positive;2;Good for jobs that need to be filled
R_8TzLamKfdYhcavh;positive;3;Good for economy
R_8TzLamKfdYhcavh;positive;4;Talented people can come
R_8TzLamKfdYhcavh;positive;5;NA
R_8TzLamKfdYhcavh;negative;1;Burden on public services
R_8TzLamKfdYhcavh;negative;2;overpopulation
R_8TzLamKfdYhcavh;negative;3;crime
R_8TzLamKfdYhcavh;negative;4;NA
R_8TzLamKfdYhcavh;negative;5;NA
R_2PzVkIY3woV0leJ;positive;1;UK has a moral duty to accept refugees/asylum seekers
R_2PzVkIY3woV0leJ;positive;2;Migration helps fill employment gaps e.g. nursing, farming
R_2PzVkIY3woV0leJ;positive;3;Diversity is a positive thing for society
R_2PzVkIY3woV0leJ;positive;4;UK birth rate is falling, so need migrants to ensure financial stability in future
R_2PzVkIY3woV0leJ;positive;5;NA
R_2PzVkIY3woV0leJ;negative;1;Pressure on health services/education/housing
R_2PzVkIY3woV0leJ;negative;2;Difficulties assimilating a different culture/language/customs
R_2PzVkIY3woV0leJ;negative;3;Cost of accepting migrants to the UK
R_2PzVkIY3woV0leJ;negative;4;NA
R_2PzVkIY3woV0leJ;negative;5;NA
R_2KjRaAmXTOQ2ucb;positive;1;Fill job roles
R_2KjRaAmXTOQ2ucb;positive;2;More addition to the economy
R_2KjRaAmXTOQ2ucb;positive;3;different cultures bringing different things to the uk
R_2KjRaAmXTOQ2ucb;positive;4;NA
R_2KjRaAmXTOQ2ucb;positive;5;NA
R_2KjRaAmXTOQ2ucb;negative;1;Some dont work
R_2KjRaAmXTOQ2ucb;negative;2;Illegal ones bring negative actions
R_2KjRaAmXTOQ2ucb;negative;3;Abuse of the system
R_2KjRaAmXTOQ2ucb;negative;4;more tax money
R_2KjRaAmXTOQ2ucb;negative;5;NA
R_2HYrZ62CCIywsiy;positive;1;Increases diversity
R_2HYrZ62CCIywsiy;positive;2;Provides a source of change
R_2HYrZ62CCIywsiy;positive;3;Brings new talent into the UK
R_2HYrZ62CCIywsiy;positive;4;Offers safety to those in need
R_2HYrZ62CCIywsiy;positive;5;It's kind
R_2HYrZ62CCIywsiy;negative;1;It has financial implications
R_2HYrZ62CCIywsiy;negative;2;It may dilute 'British' culture, such as it is
R_2HYrZ62CCIywsiy;negative;3;It increases the population of the UK
R_2HYrZ62CCIywsiy;negative;4;It's not a simple issue
R_2HYrZ62CCIywsiy;negative;5;It causes friction
R_2Dj40dtdSoeX4Wb;positive;1;more culture
R_2Dj40dtdSoeX4Wb;positive;2;increase populations
R_2Dj40dtdSoeX4Wb;positive;3;diversity
R_2Dj40dtdSoeX4Wb;positive;4;NA
R_2Dj40dtdSoeX4Wb;positive;5;NA
R_2Dj40dtdSoeX4Wb;negative;1;benefit system
R_2Dj40dtdSoeX4Wb;negative;2;hotel stays
R_2Dj40dtdSoeX4Wb;negative;3;NA
R_2Dj40dtdSoeX4Wb;negative;4;NA
R_2Dj40dtdSoeX4Wb;negative;5;NA
R_20kRig0cM8Bae3R;positive;1;different cuisines
R_20kRig0cM8Bae3R;positive;2;different perspectives of life
R_20kRig0cM8Bae3R;positive;3;filling in gaps in the job market
R_20kRig0cM8Bae3R;positive;4;NA
R_20kRig0cM8Bae3R;positive;5;NA
R_20kRig0cM8Bae3R;negative;1;incompatable cultures
R_20kRig0cM8Bae3R;negative;2;higher crime rates
R_20kRig0cM8Bae3R;negative;3;more competition for jobs
R_20kRig0cM8Bae3R;negative;4;further strain on the nhs
R_20kRig0cM8Bae3R;negative;5;some migrants not respecting our culture
R_8GWykDuOp9I1zG2;positive;1;brings a broader range of skills we need
R_8GWykDuOp9I1zG2;positive;2;makes for a more diverse society
R_8GWykDuOp9I1zG2;positive;3;supports the workforce providing critical jobs
R_8GWykDuOp9I1zG2;positive;4;adds to the revenue via taxation
R_8GWykDuOp9I1zG2;positive;5;NA
R_8GWykDuOp9I1zG2;negative;1;stress on housing
R_8GWykDuOp9I1zG2;negative;2;unable to cope with services such as doctors and schools
R_8GWykDuOp9I1zG2;negative;3;keeps wages down as willing to work for less
R_8GWykDuOp9I1zG2;negative;4;NA
R_8GWykDuOp9I1zG2;negative;5;NA
R_2mgVP3ZUbNCa2r6;positive;1;Taking jobs others won't do
R_2mgVP3ZUbNCa2r6;positive;2;putting tax back in
R_2mgVP3ZUbNCa2r6;positive;3;NA
R_2mgVP3ZUbNCa2r6;positive;4;NA
R_2mgVP3ZUbNCa2r6;positive;5;NA
R_2mgVP3ZUbNCa2r6;negative;1;Costs
R_2mgVP3ZUbNCa2r6;negative;2;Housing
R_2mgVP3ZUbNCa2r6;negative;3;No checks eg Id/criminal records
R_2mgVP3ZUbNCa2r6;negative;4;NA
R_2mgVP3ZUbNCa2r6;negative;5;NA
R_8V7LGIco1eIton6;positive;1;Better social cultural diversity
R_8V7LGIco1eIton6;positive;2;Diverse range of food choices
R_8V7LGIco1eIton6;positive;3;Increased working population
R_8V7LGIco1eIton6;positive;4;More opportunities to connect with people different than you
R_8V7LGIco1eIton6;positive;5;NA
R_8V7LGIco1eIton6;negative;1;Poor availability of public services because of Conservative cuts getting less available due to increased population size
R_8V7LGIco1eIton6;negative;2;NA
R_8V7LGIco1eIton6;negative;3;NA
R_8V7LGIco1eIton6;negative;4;NA
R_8V7LGIco1eIton6;negative;5;NA
R_2jGWyhmc9DGDjqN;positive;1;Brings different cultures together
R_2jGWyhmc9DGDjqN;positive;2;Helps the economy
R_2jGWyhmc9DGDjqN;positive;3;Is beneficial to the NHS
R_2jGWyhmc9DGDjqN;positive;4;Fills in jobs
R_2jGWyhmc9DGDjqN;positive;5;NA
R_2jGWyhmc9DGDjqN;negative;1;Lives at risk from illegal immigration
R_2jGWyhmc9DGDjqN;negative;2;Pressure on the NHS
R_2jGWyhmc9DGDjqN;negative;3;Pressure on the welfare state
R_2jGWyhmc9DGDjqN;negative;4;Less housing
R_2jGWyhmc9DGDjqN;negative;5;NA
R_8waVq3V9LuLiGQo;positive;1;cultural enrichment
R_8waVq3V9LuLiGQo;positive;2;keen to work
R_8waVq3V9LuLiGQo;positive;3;NA
R_8waVq3V9LuLiGQo;positive;4;NA
R_8waVq3V9LuLiGQo;positive;5;NA
R_8waVq3V9LuLiGQo;negative;1;low vetting
R_8waVq3V9LuLiGQo;negative;2;artificially inflates religion in the area
R_8waVq3V9LuLiGQo;negative;3;cultures are crueller to animals
R_8waVq3V9LuLiGQo;negative;4;lack of integration
R_8waVq3V9LuLiGQo;negative;5;money sent out of country
R_8O9PhFqc9VAFbKF;positive;1;They do the jobs that the Brits don't want
R_8O9PhFqc9VAFbKF;positive;2;Mostly hard working
R_8O9PhFqc9VAFbKF;positive;3;NA
R_8O9PhFqc9VAFbKF;positive;4;NA
R_8O9PhFqc9VAFbKF;positive;5;NA
R_8O9PhFqc9VAFbKF;negative;1;Culture clashes
R_8O9PhFqc9VAFbKF;negative;2;Population control
R_8O9PhFqc9VAFbKF;negative;3;NA
R_8O9PhFqc9VAFbKF;negative;4;NA
R_8O9PhFqc9VAFbKF;negative;5;NA
R_2CfLqVVCvulmvpe;positive;1;Jobs (e.g. Medical professionals)
R_2CfLqVVCvulmvpe;positive;2;Cultural Awareness / Variety
R_2CfLqVVCvulmvpe;positive;3;NA
R_2CfLqVVCvulmvpe;positive;4;NA
R_2CfLqVVCvulmvpe;positive;5;NA
R_2CfLqVVCvulmvpe;negative;1;Job opportunities for UK citizens reduced
R_2CfLqVVCvulmvpe;negative;2;Housing - Availability is reduced
R_2CfLqVVCvulmvpe;negative;3;Greater benefits to those immigrating than UK citizens (Treated better in some instances).
R_2CfLqVVCvulmvpe;negative;4;NA
R_2CfLqVVCvulmvpe;negative;5;NA
R_891fp6wEk5GNzHZ;positive;1;NA
R_891fp6wEk5GNzHZ;positive;2;NA
R_891fp6wEk5GNzHZ;positive;3;NA
R_891fp6wEk5GNzHZ;positive;4;NA
R_891fp6wEk5GNzHZ;positive;5;NA
R_891fp6wEk5GNzHZ;negative;1;More crime
R_891fp6wEk5GNzHZ;negative;2;Higher taxes
R_891fp6wEk5GNzHZ;negative;3;NA
R_891fp6wEk5GNzHZ;negative;4;NA
R_891fp6wEk5GNzHZ;negative;5;NA
R_8ikC5MALT08XGdL;positive;1;Economic Growth
R_8ikC5MALT08XGdL;positive;2;Offsets Ageing Population
R_8ikC5MALT08XGdL;positive;3;increases Cultural Diversity
R_8ikC5MALT08XGdL;positive;4;Strengthens International Links
R_8ikC5MALT08XGdL;positive;5;NA
R_8ikC5MALT08XGdL;negative;1;Strain on Public Services
R_8ikC5MALT08XGdL;negative;2;Housing Availability
R_8ikC5MALT08XGdL;negative;3;NA
R_8ikC5MALT08XGdL;negative;4;NA
R_8ikC5MALT08XGdL;negative;5;NA
R_83TBavJYmQG0kLE;positive;1;helps with aging population
R_83TBavJYmQG0kLE;positive;2;plug skills gap
R_83TBavJYmQG0kLE;positive;3;multi culture
R_83TBavJYmQG0kLE;positive;4;NA
R_83TBavJYmQG0kLE;positive;5;NA
R_83TBavJYmQG0kLE;negative;1;Not enough housing
R_83TBavJYmQG0kLE;negative;2;Culture
R_83TBavJYmQG0kLE;negative;3;language barrier
R_83TBavJYmQG0kLE;negative;4;lack of integration
R_83TBavJYmQG0kLE;negative;5;NA
R_8WwgA0dDvFWWLwB;positive;1;Duty of care to people leaving extreme/dangerous situations
R_8WwgA0dDvFWWLwB;positive;2;Brings new experiences and culture to UK
R_8WwgA0dDvFWWLwB;positive;3;Expands worldview of young people who share schools
R_8WwgA0dDvFWWLwB;positive;4;The least the UK can do after plundering other countries for hundreds of years
R_8WwgA0dDvFWWLwB;positive;5;More people to take on essential work
R_8WwgA0dDvFWWLwB;negative;1;Pressure on accomodation
R_8WwgA0dDvFWWLwB;negative;2;Makes racist British people even more unbearable
R_8WwgA0dDvFWWLwB;negative;3;NA
R_8WwgA0dDvFWWLwB;negative;4;NA
R_8WwgA0dDvFWWLwB;negative;5;NA
R_81vKBxenPF0QI1R;positive;1;Pooling of talents from across the world
R_81vKBxenPF0QI1R;positive;2;Exposure to different cultures / viewpoints
R_81vKBxenPF0QI1R;positive;3;Filling jobs that native citizens may not want, but which are needed
R_81vKBxenPF0QI1R;positive;4;NA
R_81vKBxenPF0QI1R;positive;5;NA
R_81vKBxenPF0QI1R;negative;1;Possible drain on public services
R_81vKBxenPF0QI1R;negative;2;Risk of exploitation / abuse of UK benefit system
R_81vKBxenPF0QI1R;negative;3;Taken to extreme may result in unsustainable population
R_81vKBxenPF0QI1R;negative;4;NA
R_81vKBxenPF0QI1R;negative;5;NA
R_8fauQGRqxt7VFf3;positive;1;None
R_8fauQGRqxt7VFf3;positive;2;NA
R_8fauQGRqxt7VFf3;positive;3;NA
R_8fauQGRqxt7VFf3;positive;4;NA
R_8fauQGRqxt7VFf3;positive;5;NA
R_8fauQGRqxt7VFf3;negative;1;claiming benefits they shouldn't
R_8fauQGRqxt7VFf3;negative;2;Using NHS resources
R_8fauQGRqxt7VFf3;negative;3;Get free food, money and housing.
R_8fauQGRqxt7VFf3;negative;4;Cause crime
R_8fauQGRqxt7VFf3;negative;5;NA
R_8PoinLOfHNd6Fpv;positive;1;Strengthens the economy
R_8PoinLOfHNd6Fpv;positive;2;incease tax revenue
R_8PoinLOfHNd6Fpv;positive;3;culture enriches
R_8PoinLOfHNd6Fpv;positive;4;Dr and Nurses
R_8PoinLOfHNd6Fpv;positive;5;Encourage children to accept everyone
R_8PoinLOfHNd6Fpv;negative;1;racism
R_8PoinLOfHNd6Fpv;negative;2;NA
R_8PoinLOfHNd6Fpv;negative;3;NA
R_8PoinLOfHNd6Fpv;negative;4;NA
R_8PoinLOfHNd6Fpv;negative;5;NA
R_8JEIaq5fDHNAPSc;positive;1;Formed by younger population, mainly
R_8JEIaq5fDHNAPSc;positive;2;Younger people are healthier
R_8JEIaq5fDHNAPSc;positive;3;Are active and contribute with taxes
R_8JEIaq5fDHNAPSc;positive;4;Allow multiculturality
R_8JEIaq5fDHNAPSc;positive;5;Example of integration
R_8JEIaq5fDHNAPSc;negative;1;Efforts and help to integrate immigration
R_8JEIaq5fDHNAPSc;negative;2;Balance of welfare state
R_8JEIaq5fDHNAPSc;negative;3;Potential isolation and guettos
R_8JEIaq5fDHNAPSc;negative;4;NA
R_8JEIaq5fDHNAPSc;negative;5;NA
R_231JJm4Hz1tl7Hf;positive;1;More qualified doctors/nurses
R_231JJm4Hz1tl7Hf;positive;2;Cultural diversity
R_231JJm4Hz1tl7Hf;positive;3;NA
R_231JJm4Hz1tl7Hf;positive;4;NA
R_231JJm4Hz1tl7Hf;positive;5;NA
R_231JJm4Hz1tl7Hf;negative;1;Pressure on public services
